Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
schluckenV,Food and drink,Verb,0.683,0.316,0.366,117
beruhrenV,Sense perception,Verb,0.727,0.361,0.366,118
LeberN,The body,Noun,0.685,0.319,0.366,119
ArbeitN,Basic actions and technology,Noun,0.813,0.448,0.366,120
pfluckenV,NA,Verb,0.733,0.368,0.365,121
lachenV,Emotions and values,Verb,0.762,0.398,0.365,122
hauenV,NA,Verb,0.726,0.361,0.365,123
offenA,NA,Adjective,0.765,0.401,0.365,124
PfeilN,Warfare and hunting,Noun,0.714,0.349,0.364,125
MoorN,NA,Noun,0.619,0.255,0.364,126
abreienV,Basic actions and technology,Verb,0.677,0.313,0.364,127
hinterPRP,Spatial relations,Preposition,0.628,0.264,0.364,128
bewahrenV,Possession,Verb,0.723,0.36,0.363,129
WunschN,NA,Noun,0.713,0.35,0.363,130
KohleN,The physical world,Noun,0.703,0.34,0.363,131
LeiterN,The house,Noun,0.756,0.395,0.362,132
siedenV,Food and drink,Verb,0.736,0.376,0.361,133
EllenbogenN,The body,Noun,0.683,0.323,0.36,134
ruckwartsADV,NA,Adverb,0.639,0.279,0.36,135
heulenV,Speech and language,Verb,0.743,0.384,0.359,136
sprechenV,Speech and language,Verb,0.713,0.354,0.359,137
weckenV,NA,Verb,0.732,0.375,0.358,138
hineingehenV,Motion,Verb,0.799,0.442,0.357,139
FleischN,Food and drink,Noun,0.734,0.378,0.357,140
melkenV,Food and drink,Verb,0.722,0.366,0.356,141
RandN,NA,Noun,0.724,0.368,0.356,142
siebenNUM,Quantity,Numerical,0.711,0.355,0.356,143
vonhierADV,NA,Adverb,0.599,0.245,0.355,144
treffenV,NA,Verb,0.626,0.271,0.355,145
einwenigADV,NA,Adverb,0.687,0.332,0.355,146
aufstehenV,NA,Verb,0.742,0.388,0.354,147
sagenV,Speech and language,Verb,0.685,0.332,0.354,148
andererA,Miscellaneous function words,Adjective,0.726,0.373,0.353,149
HemdN,Clothing and grooming,Noun,0.718,0.365,0.353,150
SudenN,Spatial relations,Noun,0.731,0.378,0.353,151
schneidenV,Basic actions and technology,Verb,0.747,0.394,0.353,152
RatselN,NA,Noun,0.8,0.448,0.352,153
WaldN,The physical world,Noun,0.777,0.424,0.352,154
GeistN,NA,Noun,0.729,0.376,0.352,155
bellenV,NA,Verb,0.659,0.307,0.352,156
bittenV,Speech and language,Verb,0.729,0.38,0.349,157
WinterN,Time,Noun,0.725,0.376,0.349,158
SchaleN,NA,Noun,0.683,0.335,0.348,159
rudernV,Motion,Verb,0.722,0.374,0.347,160
LausN,NA,Noun,0.787,0.44,0.347,161
reichenV,NA,Verb,0.723,0.376,0.347,162
sichschlagenV,NA,Verb,0.629,0.283,0.346,163
umkommenV,NA,Verb,0.681,0.335,0.346,164
zuerstADV,NA,Adverb,0.682,0.337,0.346,165
rufenV,Speech and language,Verb,0.702,0.357,0.346,166
GansN,Animals,Noun,0.783,0.438,0.345,167
durchPRP,Miscellaneous function words,Preposition,0.785,0.44,0.345,168
LoffelN,Food and drink,Noun,0.738,0.394,0.344,169
schreienV,Speech and language,Verb,0.659,0.315,0.343,170
StutzeN,NA,Noun,0.63,0.286,0.343,171
GabelN,Food and drink,Noun,0.724,0.381,0.343,172
OstenN,Spatial relations,Noun,0.718,0.374,0.343,173
EssenN,NA,Noun,0.702,0.359,0.342,174
sehenV,Sense perception,Verb,0.704,0.363,0.341,175
TanneN,Agriculture and vegetation,Noun,0.757,0.416,0.341,176
FreitagN,Time,Noun,0.774,0.432,0.341,177
HautN,The body,Noun,0.796,0.455,0.341,178
spaterADV,NA,Adverb,0.642,0.301,0.341,179
sichunterhaltenV,NA,Verb,0.644,0.304,0.341,180
schonADV,NA,Adverb,0.688,0.347,0.341,181
dortADV,Miscellaneous function words,Adverb,0.7,0.359,0.341,182
bleibenV,Spatial relations,Verb,0.682,0.342,0.341,183
armA,Possession,Adjective,0.748,0.408,0.34,184
SchaumN,The physical world,Noun,0.758,0.418,0.34,185
KindN,Kinship,Noun,0.702,0.362,0.34,186
AstN,NA,Noun,0.671,0.332,0.339,187
KalteN,NA,Noun,0.732,0.394,0.338,188
herstellenV,NA,Verb,0.595,0.258,0.337,189
KehleN,The body,Noun,0.723,0.386,0.337,190
BeutelN,NA,Noun,0.727,0.391,0.336,191
rotA,Sense perception,Adjective,0.683,0.347,0.336,192
siebzigNUM,NA,Numerical,0.741,0.406,0.336,193
fangenV,Motion,Verb,0.757,0.422,0.336,194
weiA,Sense perception,Adjective,0.733,0.397,0.336,195
wiederADV,Time,Adverb,0.657,0.321,0.335,196
sterbenV,The body,Verb,0.72,0.385,0.335,197
schleifenV,NA,Verb,0.778,0.445,0.333,198
SchmerzN,Emotions and values,Noun,0.761,0.428,0.333,199
sammelnV,Spatial relations,Verb,0.719,0.386,0.332,200
schreitenV,NA,Verb,0.732,0.399,0.332,201
elfNUM,Quantity,Numerical,0.828,0.496,0.332,202
reifA,Food and drink,Adjective,0.703,0.372,0.332,203
StammN,Agriculture and vegetation,Noun,0.687,0.355,0.332,204
ArtN,NA,Noun,0.675,0.344,0.331,205
hierhinADV,NA,Adverb,0.771,0.44,0.331,206
unterPRP,Spatial relations,Preposition,0.73,0.4,0.33,207
hebenV,NA,Verb,0.655,0.325,0.33,208
bemerkenV,NA,Verb,0.732,0.402,0.33,209
MorgenN,Time,Noun,0.702,0.374,0.329,210
stechenV,NA,Verb,0.75,0.421,0.329,211
SchneeN,The physical world,Noun,0.713,0.385,0.328,212
FlussN,NA,Noun,0.664,0.336,0.327,213
EhefrauN,Kinship,Noun,0.68,0.353,0.327,214
